text,count,roundtable,sent
ways,3,MarketingPrompt,neg
recording,3,MarketingPrompt,neg
experience,3,MarketingPrompt,neg
end,3,MarketingPrompt,neu
feedback,3,MarketingPrompt,neg
ideas,3,MarketingPrompt,pos
educators,2,MarketingPrompt,neg
facebook,2,MarketingPrompt,pos
audience,2,MarketingPrompt,neu
value,2,MarketingPrompt,pos
teaching,2,MarketingPrompt,neg
step,2,MarketingPrompt,neg
calls,2,MarketingPrompt,pos
page,2,MarketingPrompt,neu
sharing,2,MarketingPrompt,neu
plan,2,MarketingPrompt,neg
strategies,2,MarketingPrompt,neg
makers,2,MarketingPrompt,neu
webinars,2,MarketingPrompt,pos
number,2,MarketingPrompt,neu
registrants,2,MarketingPrompt,neg
participants,2,MarketingPrompt,pos
process,2,MarketingPrompt,neu
minutes,2,MarketingPrompt,neu
sort,2,MarketingPrompt,neg
scale,2,MarketingPrompt,neu
reveal,2,MarketingPrompt,neg
advance,2,MarketingPrompt,pos
students,2,MarketingPrompt,neu
clips,2,MarketingPrompt,neu
clarity,2,MarketingPrompt,neu
measurement,2,MarketingPrompt,pos
classroom,2,MarketingPrompt,neg
basis,2,MarketingPrompt,neg
usage,2,MarketingPrompt,neu
socials,2,MarketingPrompt,pos
prep,2,MarketingPrompt,pos
change,2,MarketingPrompt,neg
tops,1,MarketingPrompt,neu
forum,1,MarketingPrompt,neu
cult,1,MarketingPrompt,neu
pedagogy,1,MarketingPrompt,pos
podcast,1,MarketingPrompt,pos
videoask,1,MarketingPrompt,pos
https,1,MarketingPrompt,neu
www.videoask.com,1,MarketingPrompt,neg
point,1,MarketingPrompt,pos
superusers,1,MarketingPrompt,neu
conferences,1,MarketingPrompt,neu
expertise,1,MarketingPrompt,neg
experiment,1,MarketingPrompt,neg
hype,1,MarketingPrompt,neg
quality,1,MarketingPrompt,pos
drip,1,MarketingPrompt,neg
rt,1,MarketingPrompt,neu
cultofpedagogy,1,MarketingPrompt,pos
code,1,MarketingPrompt,neg
something,1,MarketingPrompt,neg
dollars,1,MarketingPrompt,pos
episode,1,MarketingPrompt,pos
jake,1,MarketingPrompt,neg
miller,1,MarketingPrompt,neg
mud,1,MarketingPrompt,pos
ink,1,MarketingPrompt,pos
melissa,1,MarketingPrompt,neu
kruse,1,MarketingPrompt,pos
asap,1,MarketingPrompt,neu
walkthrough,1,MarketingPrompt,neg
idea.as,1,MarketingPrompt,neg
website,1,MarketingPrompt,neg
head,1,MarketingPrompt,neu
twitter,1,MarketingPrompt,pos
linkedin,1,MarketingPrompt,neu
base,1,MarketingPrompt,neg
revenue,1,MarketingPrompt,pos
signups,1,MarketingPrompt,pos
branding,1,MarketingPrompt,pos
exercise,1,MarketingPrompt,neu
structures,1,MarketingPrompt,neg
metrics,1,MarketingPrompt,neg
start,1,MarketingPrompt,neg
topics,1,MarketingPrompt,pos
snippets,1,MarketingPrompt,neu
answer,1,MarketingPrompt,neg
world,1,MarketingPrompt,pos
challenges,1,MarketingPrompt,neg
online,1,MarketingPrompt,neu
peer,1,MarketingPrompt,neu
edweb,1,MarketingPrompt,neg
leads,1,MarketingPrompt,neu
districts,1,MarketingPrompt,neu
impressions,1,MarketingPrompt,neu
likes,1,MarketingPrompt,pos
retweets,1,MarketingPrompt,pos
bounce-rate,1,MarketingPrompt,pos
landing,1,MarketingPrompt,pos
version,1,MarketingPrompt,neu
conversion,1,MarketingPrompt,neg
rates,1,MarketingPrompt,neu
customers,1,MarketingPrompt,pos
interactions,1,MarketingPrompt,neg
proof,1,MarketingPrompt,neg
making,1,MarketingPrompt,pos
pdfs,1,MarketingPrompt,neu
settings,1,MarketingPrompt,neg
zoom,1,MarketingPrompt,pos
chunks,1,MarketingPrompt,pos
messaging,1,MarketingPrompt,neu
right,1,MarketingPrompt,neu
cadence,1,MarketingPrompt,pos
acquisition,1,MarketingPrompt,neu
stickiness,1,MarketingPrompt,pos
ability,1,MarketingPrompt,pos
hinges,1,MarketingPrompt,neu
building,1,MarketingPrompt,pos
day,1,MarketingPrompt,neu
homepage,1,MarketingPrompt,pos
emphasis,1,MarketingPrompt,pos
learning,1,MarketingPrompt,neg
goals,1,MarketingPrompt,neg
impact,1,MarketingPrompt,neg
instagram,1,MarketingPrompt,pos
slide,1,MarketingPrompt,neu
someone,1,MarketingPrompt,pos
kind,1,MarketingPrompt,neg
template,1,MarketingPrompt,neg
let,1,MarketingPrompt,neu
work,1,MarketingPrompt,pos
incentive,1,MarketingPrompt,pos
sir,1,MarketingPrompt,neu
zealand,1,MarketingPrompt,pos
suggestions,1,MarketingPrompt,neg
announcements,1,MarketingPrompt,neu
update,1,MarketingPrompt,pos
map,1,MarketingPrompt,neu
regards,1,MarketingPrompt,neu
words,1,MarketingPrompt,pos
look,1,MarketingPrompt,pos
sound,1,MarketingPrompt,neg
timing-wise,1,MarketingPrompt,neu
anticipation,1,MarketingPrompt,neg
turn,1,MarketingPrompt,pos
whole,1,MarketingPrompt,pos
factors,1,MarketingPrompt,pos
snapshot,1,MarketingPrompt,pos
ready,1,MarketingPrompt,neu
months,1,MarketingPrompt,neu
clue,1,MarketingPrompt,neg
fall,1,MarketingPrompt,neu
show,1,MarketingPrompt,pos
range,1,MarketingPrompt,neu
subjects,1,MarketingPrompt,neu
ex,1,MarketingPrompt,pos
polls,1,MarketingPrompt,pos
countries,1,MarketingPrompt,pos
lot,1,MarketingPrompt,neu
resource,1,MarketingPrompt,neg
drive,1,MarketingPrompt,pos
folder,1,MarketingPrompt,neu
youtube,1,MarketingPrompt,pos
team,1,MarketingPrompt,pos
voices,1,MarketingPrompt,neu
platforms,1,MarketingPrompt,pos
responses,1,MarketingPrompt,neg
fail,1,MarketingPrompt,pos
powerhouse,1,MarketingPrompt,pos
daily,1,MarketingPrompt,neg
place,1,MarketingPrompt,neu
ton,1,MarketingPrompt,pos
knowledge,1,MarketingPrompt,neu
sept,1,MarketingPrompt,neu
everyone,1,MarketingPrompt,pos
intercom,1,MarketingPrompt,neg
licenses,1,MarketingPrompt,pos
ones,1,MarketingPrompt,pos
email,1,MarketingPrompt,neu
mind,1,MarketingPrompt,neu
flow,1,MarketingPrompt,pos
support,1,MarketingPrompt,neg
interest,1,MarketingPrompt,pos
environment,1,MarketingPrompt,neu
excitement,1,MarketingPrompt,neu
trust,1,MarketingPrompt,neg
money,1,MarketingPrompt,neg
option,1,MarketingPrompt,neu
link,1,MarketingPrompt,pos
clicks,1,MarketingPrompt,neu
quadrant,1,MarketingPrompt,pos
